id_sentencia,año,tema_principal,tipo_accionante,sujeto_especial_proteccion,edad_aproximada,representacion,tipo_entidad,sector_entidad,derecho_salud,derecho_minimo_vital,debido_proceso,seguridad_social,existe_otro_medio_defensa,medio_es_idoneo,se_alega_perjuicio_irremediable,perjuicio_irremediable_probado,subsidiariedad_cumplida,legitimacion_activa,legitimacion_pasiva,urgencia,afecta_minimo_vital,afecta_salud,caso_involucra_servicio_publico,decision_corte,procedencia_tutela,dias_desde_hecho,hay_inmediatez
t-455,2017,seguridad social,persona_natural,0,,directo,pública,otro,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,niega,1,2,1
t-023,2026,seguridad social,persona_natural,1,17,apoderado,pública ,otro,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,210,1
t-904,2005,seguridad social,persona_natural,1,,directo,privada,salud,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,improcedente,0,153,1
t-516,2023,seguridad social,persona_natural,1,36,agente_oficioso,privada,pensiones,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,60,1
t-144,2021,seguridad social,persona_natural,1,,directo,privada,pensiones,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,niega,0,180,1
t-266,2023,seguridad social,persona_natural,1,61,directo,pública,pensiones,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,concede,1,,1
t-293,2021,seguridad social,persona_natural,0,60,directo,privada,pensiones,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,concede,1,,1
t-301,2021,seguridad social,persona_natural,1,50,directo,economia_mixta,salud,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,improcedente,0,,1
t-960,2008,seguridad social,persona_natural,1,,agente_oficioso,privada,salud,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,niega,1,,0
t-192,2019,seguridad social,persona_natural,0,40,agente_oficioso,privada,salud,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,concede,1,,1
t-354,2018,seguridad social,persona_natural,1,50,directo,privada,pensiones,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,concede,1,,1
t-451,1998,seguridad social,persona_natural,1,,apoderado,privada,otro,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,niega,0,187,0
t-148,2019,seguridad social,persona_natural,1,71,agente_oficioso,pública,pensiones,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,concede,1,90,1
t-003,2020,seguridad social,persona_natural,0,,directo,privada,otro,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,concede,1,21,1
t-510,2024,salud,persona_natural,1,,agente_oficioso,pública,salud,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,concede,1,14,1
t-124,2019,salud,persona_natural,1,68,directo,privada,salud,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,improcedente,0,5,1
t-155,2024,salud,persona_natural,1,57,directo,privada,salud,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,concede,1,274,1
t-1237,2008,salud,persona_natural,1,26,directo,pública,salud,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,improcedente,0,2,0
t-308,2025,salud,persona_natural,1,,apoderado,pública,administrativo,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,concede,1,120,1
t-042,2013,salud,persona_natural,1,28,directo,privada,salud,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,niega,0,32,1
t-425,2013,salud,persona_natural,1,5,representante_legal,privada,salud,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,concede,1,,1
t-873,2007,salud,persona_natural,0,,directo,privada,salud,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,concede,1,,1
